,NAICS Code,Kind of business,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,441,Motor vehicle and parts dealers,418393.0,472916.0,541141.0,579715.0,627507.0,653817.0,688415.0,764204.0,796210.0,815579.0,818811.0,841588.0,866372.0,888307.0,899997.0,910139.0,785725.0,671523.0,742547.0,812695.0,886494.0,959188.0,1021184.0
1,4411,Automobile dealers,358444.0,407126.0,468100.0,501684.0,543949.0,564658.0,593501.0,661820.0,687782.0,707676.0,706682.0,722260.0,738074.0,753071.0,760798.0,767403.0,649390.0,551797.0,620890.0,684302.0,752778.0,819020.0,875443.0
2,44111,New car dealers,333801.0,379522.0,435661.0,464642.0,502340.0,518972.0,542559.0,606167.0,630123.0,649413.0,645759.0,659205.0,670553.0,681947.0,685622.0,687707.0,575506.0,486418.0,549260.0,608566.0,672550.0,735134.0,785058.0
3,44112,Used car dealers,24643.0,27604.0,32439.0,37042.0,41609.0,45686.0,50942.0,55653.0,57659.0,58263.0,60923.0,63055.0,67521.0,71124.0,75176.0,79696.0,73884.0,65379.0,71630.0,75736.0,80228.0,83886.0,90385.0
4,4412,Other motor vehicle dealers,18026.0,20980.0,23801.0,26128.0,27994.0,30615.0,34915.0,39735.0,44989.0,46811.0,49507.0,55112.0,61515.0,65171.0,66924.0,68001.0,60039.0,45544.0,43785.0,45463.0,49581.0,55025.0,59747.0
5,4413,"Automotive parts, access, and tire stores",41923.0,44810.0,49240.0,51903.0,55564.0,58544.0,59999.0,62649.0,63439.0,61092.0,62622.0,64216.0,66783.0,70065.0,72275.0,74735.0,76296.0,74182.0,77872.0,82930.0,84135.0,85143.0,85994.0
6,442,Furniture and home furnishings stores,52336.0,55456.0,60416.0,63470.0,67707.0,72715.0,77412.0,84294.0,91170.0,91484.0,94438.0,96736.0,103757.0,109120.0,112795.0,111144.0,98816.0,84924.0,85451.0,87697.0,91542.0,95331.0,99687.0
7,4421,Furniture stores,31552.0,33299.0,35503.0,36977.0,39168.0,41877.0,44110.0,47022.0,50617.0,50572.0,51264.0,51719.0,55849.0,58745.0,60122.0,59288.0,52708.0,45809.0,46661.0,47672.0,49752.0,50871.0,53272.0
8,4422,Home furnishings stores,20784.0,22157.0,24913.0,26493.0,28539.0,30838.0,33302.0,37272.0,40553.0,40912.0,43174.0,45017.0,47908.0,50375.0,52673.0,51856.0,46108.0,39115.0,38790.0,40025.0,41790.0,44460.0,46415.0
9,44221,Floor covering stores,10597.0,11460.0,12765.0,13704.0,14639.0,16050.0,16961.0,18409.0,19519.0,19208.0,19025.0,19543.0,20907.0,22125.0,23154.0,22071.0,18762.0,15298.0,14568.0,14761.0,15483.0,16753.0,17709.0
10,44229,Other home furnishings stores,10187.0,10697.0,12148.0,12789.0,13900.0,14788.0,16341.0,18863.0,21034.0,21704.0,24149.0,25474.0,27001.0,28250.0,29519.0,29785.0,27346.0,23817.0,24222.0,25264.0,26307.0,27707.0,28706.0
11,442299,All other home furnishings stores,9303.0,9787.0,11189.0,11763.0,12851.0,13791.0,15288.0,17761.0,19916.0,20547.0,22897.0,24213.0,25579.0,26579.0,27724.0,28063.0,25791.0,22643.0,23116.0,24169.0,25195.0,26431.0,27211.0
12,443,Electronics and appliance stores,42631.0,48614.0,57266.0,64770.0,68363.0,70061.0,74527.0,78977.0,82206.0,80240.0,83740.0,86442.0,93896.0,100461.0,105477.0,106599.0,105276.0,95282.0,97280.0,99790.0,102060.0,103264.0,104012.0
13,4431,Electronics and appliance stores,42631.0,48614.0,57266.0,64770.0,68363.0,70061.0,74527.0,78977.0,82206.0,80240.0,83740.0,86442.0,93896.0,100461.0,105477.0,106599.0,105276.0,95282.0,97280.0,99790.0,102060.0,103264.0,104012.0
14,44311,"Appl, TV, and other elect stores",28944.0,32548.0,37880.0,42080.0,43246.0,42992.0,46581.0,52149.0,58176.0,60158.0,63254.0,66051.0,72183.0,77374.0,81895.0,82129.0,80953.0,72785.0,71414.0,72040.0,72795.0,73250.0,73564.0
15,443111,Household appliance stores,8437.0,9137.0,9045.0,9980.0,10215.0,10374.0,11099.0,12082.0,12630.0,13479.0,14205.0,14464.0,15608.0,16792.0,17745.0,17799.0,16987.0,15287.0,15453.0,15822.0,16415.0,17124.0,17062.0
16,443112,"Radio, TV, and other elect stores",20507.0,23411.0,28835.0,32100.0,33031.0,32618.0,35482.0,40067.0,45546.0,46679.0,49049.0,51587.0,56575.0,60582.0,64150.0,64330.0,63966.0,57498.0,55961.0,56218.0,56380.0,56126.0,56502.0
17,44312,Computer and software stores,11385.0,13773.0,17108.0,20421.0,22823.0,24727.0,25307.0,23821.0,20645.0,16867.0,17248.0,17018.0,18122.0,19381.0,19761.0,20487.0,20595.0,19713.0,23108.0,24999.0,26501.0,27446.0,27966.0
18,444,Building mat and garden equip and supplies dealers,130989.0,140964.0,157228.0,164561.0,176683.0,191063.0,202423.0,218290.0,228994.0,239379.0,248539.0,263463.0,295274.0,320802.0,334130.0,320854.0,301826.0,261622.0,260544.0,269481.0,281533.0,301792.0,317715.0
19,4441,Building mat and supplies dealers,110315.0,120426.0,135099.0,141028.0,150453.0,162068.0,172201.0,187916.0,197649.0,207020.0,217184.0,230971.0,261200.0,286604.0,299382.0,283847.0,263082.0,227474.0,225712.0,232649.0,242176.0,259545.0,273466.0
20,44412,Paint and wallpaper stores,4714.0,5153.0,5751.0,6455.0,7038.0,7691.0,8513.0,8713.0,8863.0,8589.0,8096.0,8478.0,8880.0,9842.0,10332.0,10166.0,9415.0,7956.0,7972.0,8423.0,9134.0,9451.0,10283.0
21,44413,Hardware stores,12670.0,13000.0,13778.0,13718.0,13907.0,13952.0,14965.0,15586.0,16179.0,16539.0,16962.0,17674.0,18300.0,18881.0,19983.0,20509.0,20072.0,18667.0,18706.0,20041.0,20747.0,21030.0,22614.0
22,445,Food and beverage stores,370513.0,374516.0,384340.0,390386.0,401073.0,409373.0,416525.0,433699.0,444764.0,462429.0,464856.0,474385.0,490380.0,508484.0,525232.0,547837.0,569364.0,568591.0,580787.0,609103.0,628205.0,641138.0,669902.0
23,4451,Grocery stores,337370.0,341318.0,350523.0,356409.0,365547.0,372570.0,378188.0,394250.0,402515.0,418127.0,419813.0,427987.0,441136.0,457667.0,471699.0,491360.0,511219.0,510028.0,520742.0,547471.0,563645.0,574549.0,599738.0
24,44511,Supermarkets and other grocery (except convenience) stores,318277.0,322511.0,331708.0,337784.0,346947.0,354112.0,359920.0,375401.0,381441.0,396538.0,397272.0,406274.0,418805.0,435523.0,448692.0,468364.0,488540.0,489028.0,498006.0,523371.0,539180.0,549062.0,573882.0
25,4452,Specialty food stores,11456.0,11660.0,11716.0,11970.0,12369.0,12722.0,12955.0,12973.0,13742.0,14681.0,15149.0,15929.0,17055.0,17250.0,17517.0,18349.0,18641.0,18318.0,18643.0,19239.0,20195.0,20512.0,21649.0
26,4453,"Beer, wine, and liquor stores",21687.0,21538.0,22101.0,22007.0,23157.0,24081.0,25382.0,26476.0,28507.0,29621.0,29894.0,30469.0,32189.0,33567.0,36016.0,38128.0,39504.0,40245.0,41402.0,42393.0,44365.0,46077.0,48515.0
27,446,Health and personal care stores,89705.0,92594.0,96363.0,101635.0,109557.0,118672.0,129583.0,142699.0,155234.0,166533.0,179983.0,192426.0,199290.0,210085.0,223336.0,237164.0,246501.0,252643.0,260201.0,271333.0,274000.0,282176.0,299891.0
28,4461,Health and personal care stores,89705.0,92594.0,96363.0,101635.0,109557.0,118672.0,129583.0,142699.0,155234.0,166533.0,179983.0,192426.0,199290.0,210085.0,223336.0,237164.0,246501.0,252643.0,260201.0,271333.0,274000.0,282176.0,299891.0
29,44611,Pharmacies and drug stores,77791.0,79707.0,81994.0,85840.0,91810.0,98823.0,108415.0,121282.0,130857.0,141772.0,153936.0,165524.0,169231.0,179170.0,191018.0,202284.0,210785.0,217109.0,221996.0,230970.0,229951.0,235677.0,251728.0
30,44613,Optical goods stores,4907.0,4906.0,5286.0,5262.0,5859.0,6563.0,6943.0,6973.0,7228.0,6487.0,6818.0,6912.0,7156.0,7499.0,7581.0,8231.0,8353.0,8757.0,9346.0,10033.0,9957.0,10316.0,10736.0
31,447,Gasoline stations,156324.0,162376.0,171222.0,181113.0,194425.0,199700.0,191727.0,212524.0,249816.0,251383.0,250619.0,275187.0,324006.0,378923.0,421976.0,451822.0,503767.0,391538.0,448809.0,532372.0,555419.0,547489.0,534670.0
32,448,Clothing and clothing access stores,120103.0,124749.0,129083.0,131333.0,136581.0,140293.0,149151.0,159751.0,167674.0,167287.0,172304.0,178694.0,190253.0,200969.0,213189.0,221205.0,215543.0,204402.0,213178.0,228438.0,239493.0,246313.0,250775.0
33,4481,Clothing stores,85370.0,88127.0,90161.0,90708.0,93712.0,97722.0,104128.0,111681.0,118097.0,119208.0,122834.0,128361.0,137289.0,145575.0,154546.0,161622.0,157685.0,151338.0,158227.0,168029.0,176131.0,179485.0,183007.0
34,44811,Men's clothing stores,10179.0,9962.0,10032.0,9315.0,9546.0,10069.0,10196.0,9667.0,9507.0,8625.0,8112.0,8249.0,8566.0,8737.0,8844.0,8772.0,8351.0,7354.0,7287.0,7862.0,8272.0,8683.0,8901.0
35,44812,Women's clothing stores,31815.0,32350.0,30585.0,28696.0,28238.0,27822.0,28332.0,29549.0,31447.0,31453.0,31246.0,32565.0,34954.0,37075.0,38809.0,40294.0,38402.0,36055.0,37690.0,40048.0,41794.0,41785.0,41678.0
36,44814,Family clothing stores,33146.0,35297.0,38103.0,39999.0,42259.0,45243.0,50154.0,55318.0,58913.0,60150.0,64289.0,67494.0,72444.0,77292.0,81712.0,84592.0,82799.0,80924.0,84508.0,88271.0,92631.0,95805.0,98214.0
37,44819,Other clothing stores,5295.0,5521.0,5992.0,6610.0,7110.0,7321.0,7470.0,8247.0,8815.0,8888.0,8766.0,9223.0,9983.0,10144.0,11042.0,12003.0,11747.0,11323.0,11653.0,12604.0,13941.0,14568.0,15128.0
38,4482,Shoe stores,18616.0,19028.0,19907.0,20341.0,21235.0,21450.0,22238.0,22690.0,22875.0,22884.0,23201.0,23167.0,23685.0,25263.0,26682.0,26811.0,26975.0,25647.0,27234.0,29241.0,31039.0,32694.0,33531.0
39,4483,"Jewelry, luggage, and leather goods stores",16117.0,17594.0,19015.0,20284.0,21634.0,21121.0,22785.0,25380.0,26702.0,25195.0,26269.0,27166.0,29279.0,30131.0,31961.0,32772.0,30883.0,27417.0,27717.0,31168.0,32323.0,34134.0,34237.0
40,44831,Jewelry stores,15045.0,16429.0,17852.0,19007.0,20169.0,19629.0,21271.0,23691.0,24821.0,23561.0,24638.0,25493.0,27623.0,28421.0,30103.0,30820.0,28970.0,25656.0,25849.0,28967.0,29862.0,31372.0,31625.0
41,451,"Sporting goods, hobby, book, and music stores",49026.0,52091.0,57249.0,60642.0,63768.0,65288.0,68645.0,72458.0,75808.0,76836.0,76680.0,76767.0,79284.0,80889.0,83148.0,84651.0,83595.0,80146.0,80319.0,80689.0,82981.0,84550.0,85375.0
42,4511,"Sporting  goods, hobby, and musical instrument stores",33663.0,35453.0,38932.0,40631.0,42913.0,43682.0,45810.0,48613.0,51444.0,52278.0,52652.0,53012.0,55000.0,56965.0,60229.0,62457.0,62432.0,60768.0,61806.0,63824.0,67743.0,70216.0,71234.0
43,45111,Sporting goods stores,15583.0,16791.0,18825.0,19869.0,20810.0,21167.0,22284.0,23699.0,25308.0,26158.0,26219.0,27000.0,28640.0,30713.0,33869.0,35804.0,36750.0,36519.0,37324.0,38996.0,42142.0,44374.0,44631.0
44,45112,"Hobby, toy, and game stores",11251.0,11651.0,12850.0,13714.0,14502.0,15021.0,15833.0,16651.0,16947.0,16820.0,16909.0,16582.0,16314.0,16255.0,16020.0,16344.0,16104.0,15524.0,15796.0,16124.0,16620.0,16861.0,17355.0
45,4512,"Book, periodical, and music stores",15363.0,16638.0,18317.0,20011.0,20855.0,21606.0,22835.0,23845.0,24364.0,24558.0,24028.0,23755.0,24284.0,23924.0,22919.0,22194.0,21163.0,19378.0,18513.0,16865.0,15238.0,14334.0,14141.0
46,45121,Book stores and news dealers,9303.0,10120.0,11213.0,12402.0,13158.0,14010.0,14631.0,15459.0,16148.0,16305.0,16560.0,17347.0,18167.0,18263.0,18305.0,18452.0,18096.0,16843.0,16320.0,14815.0,13416.0,12633.0,12426.0
47,451211,Book stores,8327.0,9108.0,10107.0,11196.0,11905.0,12742.0,13282.0,14172.0,14879.0,15098.0,15437.0,16219.0,16881.0,16992.0,16978.0,17171.0,16801.0,15802.0,15238.0,13716.0,12269.0,11501.0,11320.0
48,452,General merchandise stores,247876.0,265996.0,285190.0,300498.0,315305.0,331363.0,351081.0,380179.0,404228.0,427468.0,446520.0,468771.0,497382.0,528385.0,554256.0,578582.0,595047.0,588930.0,603776.0,624779.0,642313.0,651868.0,666873.0
49,4521,Department stores (excl LD),177089.0,187685.0,198945.0,205920.0,212203.0,220108.0,223290.0,230304.0,232475.0,228377.0,220743.0,214470.0,215691.0,215266.0,213155.0,209392.0,198236.0,186583.0,184755.0,183361.0,177313.0,170194.0,168068.0
50,45211,Department stores,177089.0,187685.0,198945.0,205920.0,212203.0,220108.0,223290.0,230304.0,232475.0,228377.0,220743.0,214470.0,215691.0,215266.0,213155.0,209392.0,198236.0,186583.0,184755.0,183361.0,177313.0,170194.0,168068.0
51,452111,Department stores (except discount dept stores),85153.0,86325.0,89402.0,89300.0,92172.0,93985.0,94308.0,96652.0,96282.0,90782.0,86857.0,85146.0,84466.0,84751.0,80297.0,76887.0,71149.0,63340.0,64901.0,65738.0,62961.0,60616.0,60543.0
52,452112,Discount dept stores,91936.0,101360.0,109543.0,116620.0,120031.0,126123.0,128982.0,133652.0,136193.0,137595.0,133886.0,129324.0,131225.0,130515.0,132858.0,132505.0,127087.0,123243.0,119854.0,117623.0,114352.0,109578.0,107525.0
53,4521,Department stores (incl LD)Â²,181255.0,192125.0,203808.0,210919.0,217001.0,225062.0,228934.0,236847.0,239921.0,235579.0,227773.0,220775.0,221419.0,220676.0,218132.0,213941.0,202144.0,189283.0,187058.0,185609.0,179362.0,172371.0,170421.0
54,45211,Department stores,181255.0,192125.0,203808.0,210919.0,217001.0,225062.0,228934.0,236847.0,239921.0,235579.0,227773.0,220775.0,221419.0,220676.0,218132.0,213941.0,202144.0,189283.0,187058.0,185609.0,179362.0,172371.0,170421.0
55,452111,Department stores (except discount dept stores),87384.0,88720.0,92015.0,92258.0,95065.0,97013.0,97523.0,100302.0,100284.0,93871.0,90228.0,88277.0,87265.0,87461.0,82662.0,79015.0,73153.0,65013.0,66494.0,67560.0,64856.0,62674.0,62743.0
56,452112,Discount dept stores,93871.0,103405.0,111793.0,118661.0,121936.0,128049.0,131411.0,136545.0,139637.0,141708.0,137545.0,132498.0,134154.0,133215.0,135470.0,134926.0,128991.0,124270.0,120564.0,118049.0,114506.0,109697.0,107678.0
57,4529,Other general merchandise stores,70787.0,78311.0,86245.0,94578.0,103102.0,111255.0,127791.0,149875.0,171753.0,199091.0,225777.0,254301.0,281691.0,313119.0,341101.0,369190.0,396811.0,402347.0,419021.0,441418.0,465000.0,481674.0,498805.0
58,45291,Warehouse clubs and supercenters,40025.0,46628.0,57756.0,65101.0,73079.0,81919.0,98493.0,118809.0,139614.0,164716.0,191252.0,216286.0,242330.0,271920.0,297956.0,324963.0,351226.0,354529.0,367993.0,386343.0,406309.0,419365.0,433303.0
59,45299,All other general merchandise stores,30762.0,31683.0,28489.0,29477.0,30023.0,29336.0,29298.0,31066.0,32139.0,34375.0,34525.0,38015.0,39361.0,41199.0,43145.0,44227.0,45585.0,47818.0,51028.0,55075.0,58691.0,62309.0,65502.0
60,453,Miscellaneous store retailers,54840.0,61545.0,69457.0,75977.0,82819.0,90232.0,98369.0,104218.0,106719.0,103087.0,102783.0,101913.0,104177.0,107279.0,113694.0,116418.0,110692.0,101754.0,104250.0,108367.0,110018.0,112454.0,116065.0
61,4531,Florists,6397.0,6429.0,6587.0,6636.0,7122.0,7316.0,7585.0,7804.0,8171.0,7859.0,7494.0,6945.0,6730.0,7078.0,7329.0,7244.0,6710.0,5868.0,5891.0,5580.0,5578.0,5789.0,5990.0
62,4532,"Office supplies, stationery, and gift stores",21416.0,23876.0,27143.0,29327.0,30889.0,33667.0,37120.0,40006.0,41653.0,39385.0,39025.0,38704.0,39319.0,39775.0,41290.0,41245.0,38080.0,34464.0,34291.0,34047.0,33454.0,33003.0,33000.0
63,45321,Office supplies and stationery stores,9184.0,11127.0,13235.0,14824.0,15592.0,17334.0,19522.0,21600.0,22748.0,20885.0,20961.0,21017.0,21685.0,22162.0,22788.0,23204.0,21269.0,19391.0,18766.0,18112.0,17401.0,16643.0,15740.0
64,45322,"Gift, novelty, and souvenir stores",12232.0,12749.0,13908.0,14503.0,15297.0,16333.0,17598.0,18406.0,18905.0,18500.0,18064.0,17687.0,17634.0,17613.0,18502.0,18041.0,16811.0,15073.0,15525.0,15935.0,16053.0,16360.0,17260.0
65,4533,Used merchandise stores,5567.0,6136.0,6125.0,6617.0,7256.0,8058.0,9023.0,9377.0,9832.0,9527.0,9500.0,9214.0,9271.0,9320.0,10413.0,10930.0,11242.0,10873.0,11801.0,13245.0,14728.0,15463.0,16297.0
66,4539,Other miscellaneous store retailers,21460.0,25104.0,29602.0,33397.0,37552.0,41191.0,44641.0,47031.0,47063.0,46316.0,46764.0,47050.0,48857.0,51106.0,54662.0,56999.0,54660.0,50549.0,52267.0,55495.0,56258.0,58199.0,60778.0
67,45399,All other miscellaneous store retailers,10071.0,11316.0,13063.0,14465.0,16314.0,18044.0,19366.0,20770.0,22132.0,22643.0,24040.0,24666.0,25270.0,25777.0,27332.0,27213.0,27290.0,26711.0,27645.0,29770.0,29678.0,29664.0,29703.0
68,454,Nonstore retailers,78501.0,85811.0,96280.0,103516.0,117761.0,126190.0,133904.0,151797.0,180453.0,180563.0,189279.0,206359.0,228977.0,255579.0,284343.0,308767.0,319353.0,311592.0,341699.0,377443.0,408171.0,433440.0,470196.0
69,4541,Electronic shopping and mail-order houses,35210.0,40677.0,47037.0,52680.0,61106.0,70067.0,80297.0,94282.0,113790.0,114749.0,122214.0,134304.0,154157.0,175900.0,202251.0,223681.0,229445.0,236070.0,264240.0,295755.0,328655.0,350836.0,386135.0
70,4542,Vending machine operators,7028.0,6850.0,6958.0,6753.0,7466.0,7772.0,7859.0,8217.0,8572.0,7853.0,7968.0,7738.0,8127.0,7979.0,8088.0,7866.0,7684.0,6694.0,6456.0,6293.0,6642.0,6438.0,6533.0
71,4543,Direct selling establishments,36263.0,38284.0,42285.0,44083.0,49189.0,48351.0,45748.0,49298.0,58091.0,57961.0,59097.0,64317.0,66693.0,71700.0,74004.0,77220.0,82224.0,68828.0,71003.0,75395.0,72874.0,76166.0,77528.0
72,45431,Fuel dealers,16665.0,17566.0,18700.0,19820.0,22563.0,21941.0,18925.0,19912.0,26692.0,26093.0,23981.0,28414.0,30345.0,34311.0,35480.0,37436.0,43573.0,33454.0,35514.0,39510.0,35935.0,37642.0,39482.0
73,722,Food services and drinking places,202865.0,215467.0,225000.0,233012.0,242245.0,257364.0,271194.0,283900.0,304261.0,316638.0,330525.0,349726.0,373557.0,396463.0,422786.0,444551.0,456273.0,452018.0,466941.0,495382.0,524161.0,542239.0,575197.0
74,7221,Full-service restaurants,86208.0,91122.0,96683.0,99032.0,104113.0,114186.0,119432.0,125108.0,133579.0,140070.0,147537.0,155314.0,165099.0,174119.0,186091.0,195505.0,197055.0,193851.0,198705.0,213880.0,227210.0,234643.0,252331.0
75,7222,Limited-service eating places,87260.0,94597.0,98342.0,103018.0,106036.0,109122.0,115508.0,119653.0,127519.0,132564.0,137955.0,146799.0,158485.0,169034.0,178189.0,186001.0,194003.0,194896.0,203284.0,214284.0,225958.0,235661.0,248361.0
76,722211,Limited-service restaurants,73960.0,81133.0,84795.0,89459.0,92564.0,95712.0,101055.0,104489.0,110485.0,114151.0,118595.0,126301.0,135314.0,143166.0,149735.0,153812.0,161012.0,161952.0,168695.0,177791.0,187732.0,195682.0,204704.0
77,7223,Special food services,17116.0,17607.0,18213.0,18510.0,19147.0,20677.0,22297.0,24609.0,27833.0,28320.0,28703.0,30354.0,32368.0,35257.0,39173.0,43157.0,44984.0,43305.0,44752.0,46647.0,49572.0,50480.0,52837.0
78,72231,Food service contractors,13310.0,13704.0,14146.0,14072.0,14381.0,15412.0,16367.0,18139.0,20671.0,21245.0,21315.0,23027.0,24437.0,26731.0,29627.0,32804.0,34362.0,33668.0,34778.0,36151.0,38081.0,38778.0,40419.0
79,7224,Drinking places (alcoholic beverages),12281.0,12141.0,11762.0,12452.0,12949.0,13379.0,13957.0,14530.0,15330.0,15684.0,16330.0,17259.0,17605.0,18053.0,19333.0,19888.0,20231.0,19966.0,20200.0,20571.0,21421.0,21455.0,21668.0
